"old_path","new_path","sha256_before","sha256_after","size_bytes","category","reason","reference_audit","moved_at","restore_command"
"backend\audit\audit_aktiv_tab.mjs","D:\cursor\Labor\_quarantine\operativ-navigator_260614_cleanup_20260626_201630\backend\audit\audit_aktiv_tab.mjs","CBF4577D0EFE4FCD2A379B7AB88E66EA1832A4393F501B13C94093DB13E4404A","CBF4577D0EFE4FCD2A379B7AB88E66EA1832A4393F501B13C94093DB13E4404A","6298","E_TEST_AUDIT","not served by server.js","no runtime ref","2026-06-26T20:21:20.8691753+02:00","Move-Item 'D:\cursor\Labor\_quarantine\operativ-navigator_260614_cleanup_20260626_201630\backend\audit\audit_aktiv_tab.mjs' 'D:\cursor\operativ-navigator_260614\backend\audit\audit_aktiv_tab.mjs' -Force"
"backend\audit\audit_default_ui_visibility.mjs","D:\cursor\Labor\_quarantine\operativ-navigator_260614_cleanup_20260626_201630\backend\audit\audit_default_ui_visibility.mjs","C8CDC9FB8B0634EA48AEE85BA9B27F9EACEC6EF16AC417849D4FBFAEBFADD04B","C8CDC9FB8B0634EA48AEE85BA9B27F9EACEC6EF16AC417849D4FBFAEBFADD04B","3405","E_TEST_AUDIT","not served by server.js","no runtime ref","2026-06-26T20:21:20.8691753+02:00","Move-Item 'D:\cursor\Labor\_quarantine\operativ-navigator_260614_cleanup_20260626_201630\backend\audit\audit_default_ui_visibility.mjs' 'D:\cursor\operativ-navigator_260614\backend\audit\audit_default_ui_visibility.mjs' -Force"
"backend\audit\audit_kv01_chain.mjs","D:\cursor\Labor\_quarantine\operativ-navigator_260614_cleanup_20260626_201630\backend\audit\audit_kv01_chain.mjs","CAEC468DD330622B813067596C18B36E9AF81CD621FD68C10787DC07A3E45447","CAEC468DD330622B813067596C18B36E9AF81CD621FD68C10787DC07A3E45447","2893","E_TEST_AUDIT","not served by server.js","no runtime ref","2026-06-26T20:21:20.8691753+02:00","Move-Item 'D:\cursor\Labor\_quarantine\operativ-navigator_260614_cleanup_20260626_201630\backend\audit\audit_kv01_chain.mjs' 'D:\cursor\operativ-navigator_260614\backend\audit\audit_kv01_chain.mjs' -Force"
"backend\audit\audit_kv01_desync_root.mjs","D:\cursor\Labor\_quarantine\operativ-navigator_260614_cleanup_20260626_201630\backend\audit\audit_kv01_desync_root.mjs","ED30AA0BB8D364B255217EA6CF4662219C6142BE3DA748E033A405DC25C0085A","ED30AA0BB8D364B255217EA6CF4662219C6142BE3DA748E033A405DC25C0085A","11357","E_TEST_AUDIT","not served by server.js","no runtime ref","2026-06-26T20:21:20.8691753+02:00","Move-Item 'D:\cursor\Labor\_quarantine\operativ-navigator_260614_cleanup_20260626_201630\backend\audit\audit_kv01_desync_root.mjs' 'D:\cursor\operativ-navigator_260614\backend\audit\audit_kv01_desync_root.mjs' -Force"
"backend\audit\audit_kv01_full.mjs","D:\cursor\Labor\_quarantine\operativ-navigator_260614_cleanup_20260626_201630\backend\audit\audit_kv01_full.mjs","D408621D2C60BBDD87D385946A0159467E6B6BC100C42D017147C5E64105724C","D408621D2C60BBDD87D385946A0159467E6B6BC100C42D017147C5E64105724C","5877","E_TEST_AUDIT","not served by server.js","no runtime ref","2026-06-26T20:21:20.8691753+02:00","Move-Item 'D:\cursor\Labor\_quarantine\operativ-navigator_260614_cleanup_20260626_201630\backend\audit\audit_kv01_full.mjs' 'D:\cursor\operativ-navigator_260614\backend\audit\audit_kv01_full.mjs' -Force"
"backend\audit\audit_kv_visibility.mjs","D:\cursor\Labor\_quarantine\operativ-navigator_260614_cleanup_20260626_201630\backend\audit\audit_kv_visibility.mjs","28441EE5BB4C4D093391EBDBA86E0A99D28CF220750FE0DC1B23A00EC6A6AD85","28441EE5BB4C4D093391EBDBA86E0A99D28CF220750FE0DC1B23A00EC6A6AD85","4215","E_TEST_AUDIT","not served by server.js","no runtime ref","2026-06-26T20:21:20.8691753+02:00","Move-Item 'D:\cursor\Labor\_quarantine\operativ-navigator_260614_cleanup_20260626_201630\backend\audit\audit_kv_visibility.mjs' 'D:\cursor\operativ-navigator_260614\backend\audit\audit_kv_visibility.mjs' -Force"
"backend\audit\audit_operative_api.mjs","D:\cursor\Labor\_quarantine\operativ-navigator_260614_cleanup_20260626_201630\backend\audit\audit_operative_api.mjs","B196A46F7144EE2B8BB40073FA8F36EC760B09C91E4634426FFA3196D8C41FF8","B196A46F7144EE2B8BB40073FA8F36EC760B09C91E4634426FFA3196D8C41FF8","9241","E_TEST_AUDIT","not served by server.js","no runtime ref","2026-06-26T20:21:20.8691753+02:00","Move-Item 'D:\cursor\Labor\_quarantine\operativ-navigator_260614_cleanup_20260626_201630\backend\audit\audit_operative_api.mjs' 'D:\cursor\operativ-navigator_260614\backend\audit\audit_operative_api.mjs' -Force"
"backend\audit\audit_operative_coverage.mjs","D:\cursor\Labor\_quarantine\operativ-navigator_260614_cleanup_20260626_201630\backend\audit\audit_operative_coverage.mjs","DDC471804ED9BDD185D475199F57F7F0228655E6808994E4B345980B3C59C525","DDC471804ED9BDD185D475199F57F7F0228655E6808994E4B345980B3C59C525","14145","E_TEST_AUDIT","not served by server.js","no runtime ref","2026-06-26T20:21:20.8691753+02:00","Move-Item 'D:\cursor\Labor\_quarantine\operativ-navigator_260614_cleanup_20260626_201630\backend\audit\audit_operative_coverage.mjs' 'D:\cursor\operativ-navigator_260614\backend\audit\audit_operative_coverage.mjs' -Force"
"backend\audit\audit_operative_live.mjs","D:\cursor\Labor\_quarantine\operativ-navigator_260614_cleanup_20260626_201630\backend\audit\audit_operative_live.mjs","B2FBE40A53C23438083E9A2E6D7A92FEAA7AFB6BF2563552D3A7A1479CF83D2C","B2FBE40A53C23438083E9A2E6D7A92FEAA7AFB6BF2563552D3A7A1479CF83D2C","5012","E_TEST_AUDIT","not served by server.js","no runtime ref","2026-06-26T20:21:20.8691753+02:00","Move-Item 'D:\cursor\Labor\_quarantine\operativ-navigator_260614_cleanup_20260626_201630\backend\audit\audit_operative_live.mjs' 'D:\cursor\operativ-navigator_260614\backend\audit\audit_operative_live.mjs' -Force"
"backend\audit\audit_release_desync.mjs","D:\cursor\Labor\_quarantine\operativ-navigator_260614_cleanup_20260626_201630\backend\audit\audit_release_desync.mjs","BED3B582C1313B6C8839DCDB32A94AD60CB805D72FD7D092731B54E86E15535C","BED3B582C1313B6C8839DCDB32A94AD60CB805D72FD7D092731B54E86E15535C","6019","E_TEST_AUDIT","not served by server.js","no runtime ref","2026-06-26T20:21:20.8691753+02:00","Move-Item 'D:\cursor\Labor\_quarantine\operativ-navigator_260614_cleanup_20260626_201630\backend\audit\audit_release_desync.mjs' 'D:\cursor\operativ-navigator_260614\backend\audit\audit_release_desync.mjs' -Force"
